"Compressive
strength tests","Elastic
modulus tests","Flexural
strength tests","Splitting
tensile strength tests","Effective
water- to-cement ratio","Aggregate-
to-cement ratio (a/c)","RCA
replacement ratio (RCA %)","Parent
concrete strength(MPa)","Nominal
maximum RCA size(mm)","Nominal
maximum NA size(mm)","Bulk
density of RCA (kg/m3)","Bulk
density of NA (kg/m3)","Water
absorption of RCA(WARCA) (%)","Water
absorption of NA","Los
Angeles abrasion of RCA","Los
Angeles abrasion of NA","Density of
hardened
concrete
AD (qad)
(kg/m3)","Density of
hardened
concrete
SSD (qSSD)
(kg/m3)","Compressive
strength (f’c) (MPa)"
C2,C2,,C2,0.49,3.7,0,,16,25,2780,,,,,,2390,,39.8
S2,,,C1,0.57,3.3,100,,30,30,,,,,,,,,32.8
C1,C1,B2,C1,0.36,2.7,52,,25,20,2200,2570,5.4,1.1,,,,,29
C2,,,,0.42,2.6,50,,20,20,2350,2590,4.7,1.2,30.1,29.1,,,45.4
S1,,,,0.41,1.7,15,,20,32,2330,2600,4.4,0.7,,,2378,,50.8
C2,C2,B2,,0.46,5.9,60,,32,15,2518,2650,2.7,0.2,,,,,54.3
S1,,,,0.41,1.7,45,,20,20,2390,2600,3.5,0.7,,,2378,,51.4
S2,,,,0.52,2.8,20,,22,20,,,,,,,,,47.7
C1,C1,,C1,0.5,2.6,0,,16,20,,2730,,2.5,,,,2360,44.8
C1,C1,,C1,0.5,2.8,100,,19,19,2570,,2.7,,,,,2346,29.1
C2,C2,,C2,0.38,2.3,100,38.4,20,20,2410,,5.8,,,,,,34.5
S1,C1,,C1,0.55,2.5,100,,20,32,2570,,3.5,,,,,,38.1
S1,,,,0.43,2.7,100,,32,19,2520,,9.3,,,,2280,,26.7
C1,C1,B1,,0.48,5,37,36,25,20,2250,2570,7,1.2,,,,2270,44.7
C1,C1,B1,,0.49,3.5,100,,25,25,2260,,7.5,,,,,,21.6
C2,,B1,C2,0.72,5.9,20,,20,20,2380,2680,6.94,1.53,29,20,,,26.8
S1,C1,,C1,0.51,3,100,,20,20,2370,,7.1,,,,,,42
C1,C1,,C1,0.49,2.5,100,,19,19,2320,,5.3,,37,,,2390,53.7
C2,C2,,C2,0.52,3.2,20,,20,20,2320,2540,5.3,1.8,42,31,,,44
S2,C2,,C2,0.64,6.95,0,,,,2445,2670,4.2,1.1,,,,,39.38
S1,C1,,C1,0.34,2,100,,20,20,2360,,7.8,,,,,,65.4
C1,C1,B1,,0.28,2,100,,25,38,2260,,7.5,,,,,,38.3
S1,C2,,C2,0.65,3.1,50,,19,20,2440,2720,5.8,0.2,33.6,25,,,18
S2,,,C1,0.32,5.75,75,,,,2540,2720,5.07,1.48,,,,,14
C1,C1,,C1,0.53,2.3,50,,16,20,2400,2730,5,2.5,,,,2310,37.5
S2,C1,,,0.31,2.6,100,,32,20,2578,,9.3,,,,,,38.9
C2,C2,,C2,0.46,,60,,25,25,2480,2690,3.01,0.57,,,,,30.66
C1,C1,,,0.5,2.3,100,,20,20,,,,,,,,,41.8
C1,C1,B1,C2,0.45,,100,,7,7,2450,2680,4.08,1.96,,,,2147,40.8
C2,C2,B2,,0.5,2.6,20,,16,20,2380,2680,6.9,1.9,,,2136,2330,51.6
C2,C2,B2,,0.6,3.2,100,,16,20,2380,,6.9,,,,1989,2240,40.9
,,,,,,,,,,,,,,,,,,
S2,,,,0.52,2.8,30,,22,20,,,,,,,,,50.8
C1,C1,B2,C1,0.39,3.1,100,,10,20,2280,,6.2,,22.1,,2256,,38.1
C2,C2,,,0.4,3.2,50,41.4,20,22,2451,2581,7.3,1.2,40,24.8,,,63.8
S1,,,,0.51,2.6,0,,20,20,,2620,,1.1,,,,,48.6
C2,C2,,C2,0.42,2.3,100,,20,20,2320,,5.3,,42,,,,56
S1,C2,,,0.65,3.1,100,,19,25,2390,,4.4,,,,,,22.1
C2,C2,,C2,0.46,,30,,25,25,2480,2690,3.01,0.57,,,,,31.46
S1,C2,,C2,0.42,2.5,75,,19,20,2440,2720,5.8,0.2,33.6,25,,,34
S1,,,,0.35,3.29,25,,,,2214,2687,2.7,1.2,,,,,50
C1,C1,B2,C1,0.34,2.3,0,,10,20,,2670,,1.5,,11.9,2407,,61.9
C1,C1,,C1,0.65,3.4,0,,16,20,,2730,,2.5,,,,2340,31.9
C1,C1,B1,C1,0.51,3.6,0,,32,20,,2671,,0.3,,29.2,,,43.4
S1,C1,,C1,0.44,2.3,100,,20,20,2370,,7.1,,,,,,53.7
C2,C2,B2,,0.53,5.1,100,,32,15,2292,,4.3,,,,,,34.6
S2,,,C1,0.57,3.3,100,,30,30,,,,,,,,,33.1
C2,C2,,,0.4,3.2,0,41.4,20,22,,2581,,1.2,,24.8,,,78.7
C2,,,,0.42,2.6,50,,20,19,2330,2590,6.1,1.2,34.6,29.1,,,41.6
S2,C2,,C2,0.53,5,100,37.3,12,20,2010,,10.9,,,,2417,,63
C2,C2,,C2,0.49,3.9,100,,16,20,2270,,,,,,2250,,34.6
S1,C2,B2,,0.29,2.2,0,,20,30,,2610,,2.5,,,,,70.5
,,,,,,,,,,,,,,,,,,
C2,,,,0.65,3.2,100,,20,19,2300,,5.5,,28.6,,,2350,39.9
C2,C2,,,0.36,2.5,50,,20,20,2338,2647,5.2,1,40.2,27.8,,2340,47.3
C1,C1,,C1,0.53,2.2,50,,19,19,2320,2730,5.3,0.5,37,23,,2400,51.5
S1,,,,0.57,2.9,100,,20,20,2330,,6.3,,,,,,39.1
C2,C2,,C2,0.43,3,25,,20,20,2661,2620,1.9,1.1,,21.6,2329,,47
C1,C1,,C1,0.64,3,0,,19,20,,2634,,1.3,,,,,33
C1,C1,B1,C2,0.31,,0,,12,12,2560,2860,6.1,2,,,,2518,82.6
S1,C1,,C1,0.51,3.3,0,,20,20,,2600,,0.9,,,,,48.3
S2,,,C1,0.6,4.6,25,,19,20,,,,,,,,,26.7
,,,,,,,,,,,,,,,,,,
C1,C1,,C1,0.5,2.6,50,,20,20,2580,2620,3.5,1.1,,,,,47.1
C1,,,,0.6,3.8,100,,32,20,2264,,2,,,,,,33.6
C1,C1,,C1,0.68,3.1,50,,16,20,2400,2730,5,2.5,,,,2310,32.4
,,,,,,,,,,,,,,,,,,
S1,,,,0.41,1.7,30,,20,20,2320,2600,4.6,0.7,,,2383,,48.9
S2,,,,0.35,2.3,100,,15,20,2450,,5.6,,,,,,62.8
S2,,,,0.52,2.7,100,,22,25,,,,,,,,,50.3
S1,C1,,C1,0.51,3.1,100,,20,20,2450,,3.1,,,,,,47.6
C2,C2,,,0.66,4.6,30,,20,22,2340,2510,5.3,1.4,,,,,20
,,,,,,,,,,,,,,,,,,
S1,,,,0.41,1.7,45,,20,20,2380,2600,3.8,0.7,,,2356,,50.3
C1,,,,0.5,,50,,,,2460,2670,5.1,0.5,,,,,24.7
C1,C1,,C1,0.5,3,30,,19,19,2570,2730,2.7,0.3,,,,2385,33.6
C2,C2,,,0.55,3.8,30,,20,22,2340,2510,5.3,1.4,,,,,23
S1,C2,B1,C2,0.5,3.5,40,,20,20,2400,2870,,,,,,2510,26.5
C2,,,,0.51,2.3,100,,20,19,2330,,6.1,,34.6,,,,31.4
,,,,0.44,3.83,100,,,,2510,2670,2.01,0.68,,,,,40.1
,,,,,,,,,,,,,,,,,,
S2,C2,,C2,0.36,2.2,100,35.6,16,16,,,,,,,2240,,42
C1,,,,0.55,2.9,100,,19,25,2490,,4.8,,37,,,,33.3
S1,C2,B1,C2,0.5,3.5,80,,20,20,2400,2870,,,,,,2478,25.1
S2,C2,,C2,0.7,3.4,10,37.3,12,20,2010,2720,10.9,0.6,,,2454,,64.6
S1,C2,,C2,0.42,2.7,25,,19,20,2440,2720,5.8,0.2,33.6,25,,,33
C2,C2,B2,,0.6,3.4,50,,16,20,2380,2680,6.9,1.9,,,2060,2290,42.5
,,,,,,,,,,,,,,,,,,
S1,,,,0.41,1.7,60,,20,20,2390,2600,3.5,0.7,,,2348,,53.2
S2,,,,0.35,3.1,100,,32,25,2512,,6.3,,,,,,24.6
C1,C1,B2,C1,0.42,2.7,0,,25,25,,2570,,1.1,,,,,38.6
C2,,,,0.6,,100,,,,2424,2610,6.1,1.2,59.8,,,,61.6
C1,C1,,C1,0.4,2.9,0,,20,20,,2620,,1.1,,,,,72.3
C2,C2,,,0.32,2.3,100,,20,20,2338,,5.2,,40.2,,,2320,54.8
S1,C1,,C1,0.45,2.8,20,,20,19,2570,2620,3.5,1.1,,,,,62.4
S1,,,,0.52,3.2,50,,32,22,2720,2970,4.8,0.8,,,,,41.4
S2,,,,0.52,2.9,100,,25,20,2440,,5.6,,,,,,42.6
C1,C1,,C1,0.42,2.7,0,,19,19,,2730,,0.5,,23,,2490,72.9
C1,,,,0.46,,75,,,,2460,2670,5.1,0.5,,,,,32.9
C1,C1,,C1,0.4,2.8,20,,20,20,2580,2620,3.5,1.1,,,,,69.6
C2,,,,0.51,2.8,20,,20,20,2350,2590,4.5,1.2,28.5,29.1,,,42.7
S1,C2,,C2,0.42,2.8,100,,22,20,2362,,4.2,,,,,,66.8
,,,,0.44,3.83,25,,,,2510,2670,2.01,0.68,,,,,47.5
C1,C1,,C1,0.66,3.3,20,,16,20,2400,2730,5,2.5,,,,2330,31.7
S1,,,,0.55,4.03,75,,,,2214,2687,2.7,1.2,,,,,24
S2,,,C1,0.41,2.2,100,,30,30,,,,,,,,,41.2
S2,C1,B1,C1,0.27,3.3,100,,32,32,2512,,6.3,,,,,,30.2
C2,,,,0.52,2.6,50,,20,20,2350,2590,4.7,1.2,30.1,29.1,,,36.8
C1,C1,B2,C1,0.5,2.9,50,,25,20,2530,2600,1.9,1.4,,,,,38
C1,C1,B1,,0.58,3.1,0,,25,25,,2630,,1.2,,,,,28.8
S2,C2,,C2,0.36,2.7,0,72.3,16,16,,,,,,,2530,,52.3
C1,C1,,C1,0.5,2.6,100,,20,20,2580,,3.5,,,,,,43.4
S1,C1,,C1,0.34,2,100,,20,20,2370,,7.1,,,,,,71.2
C1,,,,0.6,4.3,0,,32,20,,2381,,,,,,,36.6
,,,,,,,,,,,,,,,,,,
S2,,,C1,0.6,4.4,100,,19,20,,,,,,,,,20
,,,,,,,,,,,,,,,,,,
S1,,,,0.41,1.7,60,,20,20,2370,2600,4,0.7,,,2349,,46
C2,C2,,C2,0.52,3.6,50,,25,19,2430,2670,4.4,0.9,,,,,41
C2,C2,,,0.48,3.3,30,,20,12,2340,2510,5.3,1.4,,,,,39
S2,C2,,C2,0.53,5.22,0,,,,2445,2670,4.2,1.1,,,,,38.69
S1,C2,,C2,0.63,3.5,100,,22,20,2484,,5.4,,,,,,41.1
C1,C1,,C1,0.46,2.6,0,,19,19,,2730,,0.5,,23,,2480,62
S2,,,C1,0.41,2.2,100,,30,30,,,,,,,,,38.4
S1,,,,0.45,2.5,100,,20,20,2570,,3.5,,,,,,37.1
S2,,B1,,0.45,,100,38.25,25,25,2430,2650,5.2,2.9,34,22,,,27.19
C2,C2,,C2,0.43,3.1,0,,20,20,,2620,,1.1,,21.6,2146,,51.8
S2,,,,0.52,2.8,50,,22,25,,,,,,,,,49.5
S2,,,C1,0.45,2.5,100,,19,19,,,,,,,,,33.3
C2,C2,,C2,0.65,2.8,100,,16,20,2400,,5,,34,,,2270,30.1
S1,,,,0.58,3.2,0,,32,16,,2970,,0.8,,,,,44.6
S1,,,,0.57,3.1,50,,20,32,2330,2620,6.3,1.3,,,,,44.7
C1,,,,0.46,,50,,,,2460,2670,5.1,0.5,,,,,35.1
S1,C2,,,0.43,2.6,100,,19,25,2390,,4.4,,,,,,28.7
C2,,B1,C2,0.65,4.8,50,,20,30,2380,2680,6.94,1.53,29,20,,,14.6
C2,,,,0.45,2.3,100,,20,20,2360,,3.9,,30.8,,,,42.9
C2,C2,,C2,0.42,2.7,0,,20,20,,2540,,1.8,,31,,,58
C1,C1,B1,,0.48,4.2,100,,25,25,2260,,7.5,,,,,,13.9
S2,C2,,C2,0.52,3.6,50,,25,19,2430,2670,4.5,0.9,,,2390,,39.4
C2,C2,,C2,0.65,3.3,20,,16,20,2400,2720,5,2,34,23,,2320,31.7
C1,C1,,,0.36,2.1,100,,30,10,2510,,3.9,,39,,,,35.7
C1,,B1,C1,0.24,4.5,80,,,,2530,2700,4.6,0.5,43.3,30.2,,,12.4
C1,C1,,C1,0.52,3.2,20,,19,19,2320,2730,5.3,0.5,37,23,,2420,56.5
C2,C2,,C2,0.46,,0,,25,25,2480,2690,3.01,0.57,,,,,33.42
S2,C1,B1,C1,0.32,3,100,,32,22,2449,,6,,,,,,27.2
S2,,,,0.49,3.1,0,,25,16,,2710,,0.8,,,,,44.3
S2,C1,B1,C1,0.27,2.7,100,,32,32,2442,,6,,,,,,35.2
,,,,,,,,,,,,,,,,,,
S2,C1,B1,C1,0.29,2.7,50,60,10,10,2390,2680,4.9,2.1,25.2,24.8,2400,,103.1
C1,C1,B2,C1,0.52,2.2,0,,19,10,,2810,,0.4,,,,,29.9
C2,C2,,C2,0.6,3.6,0,,20,20,,2540,,1.8,,31,,,38
C2,C2,,C2,0.52,1.8,100,,20,19,2320,,5.3,,42,,,,41.5
S2,C2,,C2,0.53,4.1,50,37.3,12,20,2010,2720,10.9,0.6,,,2428,,63.2
S1,C2,,,0.4,2.4,100,,19,19,2390,,4.4,,,,,,29.5
S2,C1,B1,C1,0.29,2.5,100,40,10,10,2300,,5.9,,24.3,,2390,,91.2
S2,C2,,C2,0.36,2.3,100,35.6,16,16,,,,,,,2370,,45.2
S1,C2,B2,,0.45,3.3,50,,20,30,2400,2610,4.9,2.5,,,,,50.8
C2,C2,,C2,0.5,3.5,50,,8,20,2330,2750,3.8,0.8,41.4,24.3,,2478,33
S2,,B1,,0.45,,50,28.25,25,25,2430,2650,5.2,2.9,34,22,,,28.79
S1,,,,0.43,2.8,53,,32,19,2520,2820,9.3,0.4,,,2345,,29.6
C2,,,,0.6,,0,,,,2424,2610,6.1,1.2,59.8,,,,54.1
,,,,,,,,,,,,,,,,,,
S2,C2,,C2,0.42,4.98,100,,,,2445,2670,4.2,1.1,,,,,63.62
S2,,,C1,0.66,3.9,100,,30,32,,,,,,,,,27.4
C1,C1,,C1,0.45,2.8,20,,20,20,2580,2620,3.5,1.1,,,,,62.4
C1,C1,B1,C2,0.51,,50,,12,12,2560,2860,6.1,2,,,,2236,40.5
S2,C2,,C2,0.36,2.3,100,72.3,16,16,,,,,,,2280,,48.2
C2,C2,,,0.4,3.2,20,41.4,20,22,2451,2581,7.3,1.2,40,24.8,,,69.9
C2,,,,0.5,2.4,100,,25,32,2452,,4.1,,,,2237,,49
C2,,,,0.65,3.1,20,,20,19,2300,2500,5.5,1.7,28.6,32,,2360,41
S1,,,,0.57,2.7,50,,20,20,2330,2620,6.3,1.3,,,,,38.1
C2,C2,,,0.61,4.3,50,,20,22,2340,2510,5.3,1.4,,,,,19
S1,,,,0.41,1.7,30,,20,32,2330,2600,4.4,0.7,,,2368,,44.9
C1,,,,0.5,,100,,,,2460,2670,5.1,0.5,,,,,27.5
C2,C2,,,0.44,3,100,,20,22,2340,,5.3,,,,,,30
C2,,,C1,0.5,3.4,0,,22,22,,2670,,,,,,,46.7
S1,,,,0.41,1.7,15,,20,20,2370,2600,4,0.7,,,2383,,52.9
S2,C1,B1,C1,0.41,3.3,30,,32,22,2449,2788,6,0.3,,,,,31
S2,C2,,C2,0.36,2.3,100,50.6,16,16,,,,,,,2350,,46.1
C2,,,,0.43,2.6,50,,20,20,2350,2590,4.5,1.2,28.5,29.1,,,41
C2,C2,B2,,0.6,3.5,0,,16,20,,2680,,1.9,,,2167,2390,42
S2,,,C1,0.6,4.6,0,,19,20,,,,,,,,,25
C1,,,,0.47,2.7,100,,32,25,2273,,2,,,,,,48.1
C2,C2,,C2,0.46,2.6,0,,20,20,,2540,,1.8,42,,,,51.5
C1,C1,B1,,0.28,2,100,,25,38,2260,,7.5,,,,,,32.9
S2,C2,,C2,0.36,2.4,0,35.6,16,16,,,,,,,2390,,48.9
C2,,B1,C2,0.65,4.8,75,,20,30,2380,2680,6.94,1.53,29,20,,,14.2
S2,,,,0.35,2.6,0,,15,20,,2670,,0.5,,,,,74.4
S2,,,C1,0.48,2.7,100,,30,30,,,,,,,,,35.2
C1,C1,,C1,0.45,2.5,20,,19,19,2320,2730,5.3,0.5,37,23,,2450,64.8
C1,C1,B1,,0.49,3.5,100,,25,25,2260,,7.5,,,,,,18
C1,C1,B1,,0.48,5,37,36,25,20,2250,2570,7,1.2,,,,2300,41.9
C1,C1,,,0.35,4.3,100,,30,10,2520,,3.8,,34,,,,36.4
S1,C2,,C2,0.42,2.9,100,,22,22,2464,,3.9,,,,,,66.5
S2,C1,B1,C1,0.29,2.8,50,100,10,10,2470,2680,3.7,2.1,24,24.8,2480,,104.8
C1,C1,,C1,0.55,2.6,0,,20,20,,2620,,1.1,,,,,48.6
S1,C1,,C1,0.44,2.5,0,,20,20,,2600,,0.9,,,,,61.6
,,,,,,,,,,,,,,,,,,
S2,,,C1,0.76,4.5,100,,30,32,,,,,,,,,22
S1,,,,0.41,1.7,60,,20,20,2320,2600,4.6,0.7,,,2346,,40
C2,,,,0.62,2.3,100,,20,19,2320,,5.8,,32.2,,,,29.5
S2,C1,,,0.34,2.6,72,,32,20,2578,2820,9.3,0.4,,,,,36.7
C1,C1,,C1,0.55,2.5,100,,20,20,2580,,3.5,,,,,,38.1
C2,,,,0.42,2.8,20,,20,20,2350,2590,4.7,1.2,30.1,29.1,,,48.5
C1,,,,0.65,3.5,0,,19,25,,2730,,0.45,,23,,,30.4
C2,,,,0.5,2.4,100,,25,32,2452,,4.1,,,,2239,,48
S2,,,C1,0.76,4.5,100,,30,32,,,,,,,,,23.1
S1,,,,0.52,3.2,54,,32,25,2650,2970,4.6,0.8,,,,,38.3
C2,C2,,,0.41,2.6,0,,20,20,,2647,,1,,27.8,,2360,42.3
S2,C2,,C2,0.36,2.3,100,63.2,16,16,,,,,,,2330,,52.5
S2,C1,B1,C1,0.32,3,100,,32,25,2449,,6,,,,,,27.2
S2,,,,0.45,3.3,0,,15,20,,2670,,0.5,,,,,61.7
S1,,,,0.45,3.2,100,,32,22,2720,,4.8,,,,,,40.7
C2,,,,0.52,2.6,50,,20,20,2350,2590,4.5,1.2,28.5,29.1,,,35.4
S2,C1,B1,C1,0.29,2.8,20,100,10,10,2470,2680,3.7,2.1,24,24.8,2500,,108
S1,C1,,C1,0.45,2.8,0,,20,19,,2620,,1.1,,,,,66.8
S1,,,,0.41,1.7,30,,20,20,2390,2600,3.5,0.7,,,2374,,46.9
S1,,,,0.41,1.7,45,,20,20,2380,2600,3.8,0.7,,,2366,,52.6
C1,,,,0.55,2.9,0,,19,25,,2730,,0.45,,23,,,36.7
C2,C2,B2,,0.5,2.5,50,,16,20,2380,2680,6.9,1.9,,,2112,2320,51.6
S2,,,,0.52,2.8,40,,22,20,,,,,,,,,48
S1,C1,,,0.45,3.1,50,,12,30,2400,2570,6.8,3,,,,,39.6
S2,,,,0.6,4.6,0,,15,20,,2670,,0.5,,,,,43.5
S2,C1,B1,C1,0.41,3.3,100,,32,32,2670,,1.8,,,,,,34.2
S2,,,C1,0.48,2.7,100,,30,30,,,,,,,,,33.8
C1,C1,B2,C1,0.5,2.9,0,,25,20,,2600,,1.4,,,,,39.5
S2,,,C1,0.66,3.9,100,,30,32,,,,,,,,,27.7
C1,C1,,,0.67,3.9,100,,30,10,2520,,3.8,,34,,,,18
S1,C1,,C1,0.51,3,100,,20,20,2360,,7.8,,,,,,42.9
C2,C2,,C2,0.44,2.7,50,,20,20,2320,2540,5.3,1.8,42,31,,,54
S1,,,,0.57,3.1,0,,20,25,,2620,,1.3,,,,,48.3
C1,C1,B1,,0.35,3.1,100,,25,25,2260,,7.5,,,,,,21.6
C1,C1,,C1,0.59,3.3,20,,19,19,2320,2730,5.3,0.5,37,23,,2400,49.3
C2,,B1,C2,0.65,4.6,0,,20,30,,2680,,1.53,,20,,,18
S2,,,,0.46,2.7,0,,32,25,,2840,,0.4,,,,,34.3
C2,C2,,,0.45,3.1,100,41.4,20,22,2451,,7.3,,40,,,,53.9
S1,,,,0.58,3.2,100,,32,25,2650,,4.6,,,,,,36.6
S1,C1,,C1,0.55,2.6,0,,20,32,,2620,,1.1,,,,,48.6
C1,C1,B1,,0.48,4.9,64,36,25,20,2250,2570,7,1.2,,,,2200,45.6
C2,,,,0.5,2.5,50,,25,32,2452,2652,4.1,0.8,,,2296,,51
S2,C2,B1,,0.44,3.83,0,,,,2510,2670,2.01,0.68,,,,,52.1
C2,C2,B2,,0.45,6.4,25,,32,32,2594,2650,1.6,0.2,,,,,53.4
