"Compressive
strength tests","Elastic
modulus tests","Flexural
strength tests","Splitting
tensile strength tests","Effective
water- to-cement ratio","Aggregate-
to-cement ratio (a/c)","RCA
replacement ratio (RCA %)","Parent
concrete strength(MPa)","Nominal
maximum RCA size(mm)","Nominal
maximum NA size(mm)","Bulk
density of RCA (kg/m3)","Bulk
density of NA (kg/m3)","Water
absorption of RCA(WARCA) (%)","Water
absorption of NA","Los
Angeles abrasion of RCA","Los
Angeles abrasion of NA","Density of
hardened
concrete
AD (qad)
(kg/m3)","Density of
hardened
concrete
SSD (qSSD)
(kg/m3)","Compressive
strength (f’c) (MPa)"
S2,,,,0.42,3.2,10,,20,25,2165,2564,6.8,0.8,,,,,62.2
,,,,,,,,,,,,,,,,,,
C2,C2,,C2,0.47,2.5,15,38.4,20,20,2410,2590,5.8,0.9,,,,,38.1
S1,C1,,,0.55,3.2,50,,12,30,2400,2570,6.8,3,,,,,34.5
C1,,,,0.52,3.2,100,,32,25,2276,,2,,,,,,41.1
S2,C1,B1,C1,0.36,3.1,70,,32,22,2449,2788,6,0.3,,,,,28.4
S1,,,,0.57,3.1,20,,20,32,2330,2620,6.3,1.3,,,,,43.2
C2,C2,,C2,0.68,3.4,20,,20,19,2320,2540,5.3,1.8,42,31,,,33.5
C2,,,,0.5,2.5,50,,25,32,2452,2652,4.1,0.8,,,2300,,51
S2,C1,,,0.36,2.6,53,,32,20,2578,2820,9.3,0.4,,,,,45.7
S2,,,,0.52,3.1,0,,25,32,,2710,,0.83,,,,,44.3
C2,,,,0.61,2.3,100,,20,19,2330,,6.1,,34.6,,,,26
C2,,,,0.65,3.1,50,,20,19,2300,2500,5.5,1.7,28.6,32,,2350,38.8
C2,C2,,C2,0.55,4,0,,25,19,,2670,,0.9,,,,,42
C1,C1,B2,C1,0.27,1.8,100,,10,20,2280,,6.2,,22.1,,2285,,60.2
S2,C1,B1,C1,0.24,3,100,,32,32,2512,,6.3,,,,,,35.5
C2,C2,,C2,0.42,2.9,20,,20,20,2320,2540,5.3,1.8,42,31,,,53.5
C1,C1,,C1,0.54,3,100,,19,19,2320,,5.3,,37,,,2380,53.7
,,,,,,,,,,,,,,,,,,
S1,,,,0.41,1.7,60,,20,32,2330,2600,4.4,0.7,,,2354,,42.4
,,,,,,,,,,,,,,,,,,
S1,C2,,C2,0.86,4.6,0,,22,20,,2537,,1.3,,,,,23.9
S1,,,,0.52,3.2,53,,32,25,2880,2970,4.4,0.8,,,,,41.2
C2,C2,,C2,0.33,,30,,25,25,2480,2690,3.01,0.57,,,,,39.5
S2,,,C1,0.66,3.9,100,,30,32,,,,,,,,,27.5
S2,C2,,C2,0.5,3.5,100,,25,19,2430,,4.5,,,,2340,,38.3
S2,C2,,C2,0.36,2.4,0,63.2,16,16,,,,,,,2390,,48.9
S1,C2,B2,,0.45,3.3,30,,20,30,2400,2610,4.9,2.5,,,,,50.6
C2,C2,,C2,0.43,2.9,50,,20,20,2602,2620,2.6,1.1,,21.6,2302,,46
C2,C2,B2,,0.6,3.4,20,,16,20,2380,2680,6.9,1.9,,,2098,2330,42.9
C2,C2,,C2,0.44,2.5,50,,20,20,2320,2540,5.3,1.8,42,31,,,45
S1,C2,B1,C2,0.5,3.5,0,,20,20,,2870,,,,,,2610,28.3
C1,,,,0.46,,25,,,,2460,2670,5.1,0.5,,,,,32.1
S2,C2,,C2,0.54,5.13,50,,,,2445,2670,4.2,1.1,,,,,48.22
S2,C2,,C2,0.36,2.2,100,50.6,16,16,,,,,,,2260,,42.4
S2,C1,B1,C1,0.38,3.2,50,,32,22,2449,2788,6,0.3,,,,,29.3
S2,,,C1,0.27,3.7,25,,,,2540,2720,5.07,1.48,,,,,18
S1,C1,,,0.4,3.1,50,,22,30,2420,2570,8.8,3,,,,,46.1
,,,,,,,,,,,,,,,,,,
S1,,,,0.41,1.7,45,,20,32,2370,2600,4,0.7,,,2435,,54.4
S2,C2,,C2,0.55,4,0,,25,19,,2670,,0.9,,,2420,,35.5
C2,C2,,,0.45,3.1,0,41.4,20,22,,2581,,1.2,,24.8,,,59.7
S1,,,,0.43,3,0,,32,19,,2820,,0.4,,,2402,,35.9
S2,,,C1,0.66,3.9,100,,30,32,,,,,,,,,25.7
S1,C2,,C2,0.63,3.6,0,,22,20,,2665,,1,,,,,42.4
S2,,B1,,0.45,,25,28.25,25,25,2430,2650,5.2,2.9,34,22,,,30.27
S2,,,,0.45,3.1,50,,15,20,2450,,5.6,,,,,,59.4
C1,C1,,C1,0.67,3,50,,19,19,2320,2730,5.3,0.5,37,23,,2340,63.5
S1,C1,,,0.6,3.3,50,,22,20,2420,2570,8.8,3,,,,,34.7
S1,C2,,C2,0.42,2.6,50,,19,20,2440,2720,5.8,0.2,33.6,25,,,34.5
S2,,,C1,0.41,2.2,100,,30,30,,,,,,,,,38.7
C1,C1,B1,C2,0.26,,100,,12,12,2560,2860,6.1,2,,,,2378,79.3
C1,C1,,C1,0.67,3.6,0,,19,19,,2730,,0.5,,23,,2380,62
S1,,,,0.41,1.7,30,,20,20,2390,2600,3.7,0.7,,,2371,,50.2
S2,C1,B1,C1,0.42,3,0,,32,32,,2840,,0.4,,,,,38.6
S2,,,C1,0.57,3.3,100,,30,32,,,,,,,,,30.5
S1,,,,0.47,3.6,75,,20,25,2295,2610,3.6,1,,,,,44
S1,,,,0.41,1.7,60,,20,20,2380,2600,3.8,0.7,,,2351,,48
C2,C2,,C2,0.51,,100,,25,25,2480,2690,3.01,0.57,,,,,27.08
C2,C2,,,0.4,3.1,100,41.4,20,22,2451,,7.3,,40,,,,62.8
S1,,,,0.41,1.7,15,,20,20,2320,2600,4.6,0.7,,,2388,,50.5
C2,C2,,C2,0.36,2.4,100,,16,16,2565,,,,,,2430,,57.5
C1,C1,,C1,0.5,2.6,0,,20,20,,2620,,1.1,,,,,54.1
C1,C1,,C1,0.51,3.1,0,,19,19,,2730,,0.5,,23,,2430,60.1
S2,C2,,C2,0.41,5.24,0,,,,2445,2670,4.2,1.1,,,,,71.86
S2,B2,,,0.31,2.87,25,,,,2629,2880,7.16,0.5,,,,,61.2
S2,C2,,C2,0.6,3,0,37.3,12,20,,2720,,0.6,,,2394,,39.5
S1,,,,0.58,3.2,0,,32,32,,2970,,0.8,,,,,44.6
C1,,,,0.5,,0,,,,2460,2670,5.1,0.5,,,,,26.3
,,,,,,,,,,,,,,,,,,
S1,C2,,C2,0.4,2.8,100,,22,20,2363,,3.6,,,,,,70.2
C2,,,,0.42,2.8,20,,20,20,2350,2590,4.5,1.2,28.5,29.1,,,48.1
C2,,,,0.6,,50,,,,2424,2610,6.1,1.2,59.8,,,,62.5
S2,C1,B1,C1,0.38,3.2,50,,32,22,2449,2788,6,0.3,,,,,29.3
S1,C1,,C1,0.55,2.5,20,,20,32,2570,2620,3.5,1.1,,,,,45.3
C1,C1,,C1,0.5,2.6,20,,20,20,2580,2620,3.5,1.1,,,,,51.7
S2,C2,,C2,0.36,2.3,100,66,16,16,,,,,,,2280,,49.6
S2,C2,,C2,0.64,6.56,0,,,,2445,2670,4.2,1.1,,,,,45.24
C1,C1,,C1,0.56,2.1,100,,16,20,2400,,5,,,,,2270,40.5
C1,C1,,C1,0.55,2.6,20,,20,20,2580,2620,3.5,1.1,,,,,45.3
C2,,,,0.5,2.3,100,,20,20,2350,,4.5,,28.5,,,,31.4
S2,,,C1,0.66,3.9,100,,30,32,,,,,,,,,28
S2,C2,,C2,0.36,2.3,100,41.6,16,16,,,,,,,2320,,44.5
S2,C2,,C2,0.36,2.4,0,41.6,16,16,,,,,,,2400,,48.4
C2,C2,,C2,0.43,2.8,100,,20,20,2510,,3.9,,38.8,,2175,,42.5
C1,C1,B1,,0.23,2,100,,25,38,2260,,7.5,,,,,,33.2
C2,,,,0.5,2.5,25,,25,25,2452,2652,4.1,0.8,,,2308,,49
C1,C1,,C1,0.45,2.8,0,,20,20,,2620,,1.1,,,,,66.8
S2,,,C1,0.27,3.7,100,,,,2540,2720,5.07,1.48,,,,,14
S1,C1,,C1,0.68,3.6,100,,20,20,2450,,3.1,,,,,,35
C1,C1,,,0.35,3.1,0,,30,10,,2700,,0.5,,28,,,37.5
S2,C2,,C2,0.67,3.3,0,37.3,12,20,,2720,,0.6,,,2475,,65.2
C1,C1,,C1,0.4,2.7,25,,,,2400,2570,4.34,2.61,,,,,42.8
C1,C1,,C1,0.53,2.7,0,,19,19,,2730,,0.5,,23,,2430,57.3
C1,C1,B1,,0.48,5.1,0,36,25,20,,2570,,1.2,,,,2380,41.3
C1,,B1,C1,0.24,4.5,0,,,,2530,2700,4.6,0.5,43.3,30.2,,,13
S2,,,,0.39,2.4,100,,32,32,2670,,1.8,,,,,,38.4
,,,,0.44,3.83,50,,,,2510,2670,2.01,0.68,,,,,45
S1,C2,,C2,0.87,4.6,100,,22,20,2451,,7.8,,,,,,19.7
C1,C1,,C1,0.4,2.7,0,,,,,2570,,2.61,,,,,48.1
S1,,,,0.41,1.7,45,,20,20,2390,2600,3.7,0.7,,,2372,,49.5
S2,,,,0.36,2.9,100,65.3,25,16,2470,,5.3,,,,,,44.7
S2,B2,,,0.31,2.87,50,,,,2629,2880,7.16,0.5,,,,,57.5
S2,C2,,C2,0.42,3.7,30,37.3,12,20,2010,2720,10.9,0.6,,,2406,,51
C1,C1,B2,C1,0.39,2.2,37,,25,25,2200,2570,5.4,1.1,,,,,31.7
C2,,,,0.5,2.5,50,,25,32,2452,2652,4.1,0.8,,,2284,,51
